Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,UX/UI Design,111392.17,Yes,Growth
Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,93792.56,No,Decline
AI Researcher,Technology,Large,Singapore,Medium,High,UX/UI Design,107170.26,Yes,Growth
Sales Manager,Retail,Small,Berlin,Low,High,Project Management,93027.95,No,Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,JavaScript,87752.92,Yes,Decline
UX Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,102825.01,No,Growth
HR Manager,Finance,Medium,Singapore,Low,High,Sales,102065.72,Yes,Growth
Cybersecurity Analyst,Technology,Small,Dubai,Medium,Low,Machine Learning,86607.32,Yes,Decline
AI Researcher,Retail,Large,London,High,Low,JavaScript,75015.86,No,Stable
Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,96834.58,Yes,Decline
Marketing Specialist,Finance,Small,London,High,High,Python,91566.97,Yes,Growth
AI Researcher,Entertainment,Medium,Singapore,Medium,High,UX/UI Design,78902.57,No,Growth
AI Researcher,Transportation,Large,San Francisco,High,Medium,Python,73151.99,Yes,Growth
HR Manager,Retail,Small,Paris,Low,High,Cybersecurity,98209.52,Yes,Decline
Product Manager,Finance,Medium,Singapore,High,High,JavaScript,101001.90,Yes,Growth
Sales Manager,Telecommunications,Small,Dubai,High,Low,UX/UI Design,82799.36,No,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,78401.26,No,Decline
AI Researcher,Manufacturing,Large,Tokyo,Low,High,Project Management,73394.90,No,Stable
Product Manager,Finance,Large,San Francisco,Medium,High,UX/UI Design,97645.10,Yes,Stable
Software Engineer,Entertainment,Small,Dubai,Low,Low,UX/UI Design,73920.46,Yes,Growth
Sales Manager,Retail,Medium,Sydney,Medium,Low,JavaScript,134822.69,Yes,Decline
Data Scientist,Manufacturing,Small,Dubai,Medium,High,JavaScript,81794.37,Yes,Growth
UX Designer,Retail,Small,Tokyo,High,Medium,Cybersecurity,41495.71,No,Decline
Product Manager,Manufacturing,Medium,Paris,Medium,Medium,Data Analysis,89396.57,Yes,Decline
Operations Manager,Transportation,Medium,San Francisco,Low,Low,UX/UI Design,88539.33,Yes,Stable
Data Scientist,Entertainment,Medium,Sydney,Low,Low,Sales,112234.37,Yes,Stable
UX Designer,Transportation,Large,Tokyo,Medium,High,UX/UI Design,95762.52,No,Decline
HR Manager,Manufacturing,Small,Tokyo,High,Low,Cybersecurity,73323.30,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,New York,High,High,Marketing,84272.16,Yes,Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Low,Medium,Python,96548.40,Yes,Growth
Operations Manager,Transportation,Medium,Dubai,High,Medium,Project Management,46705.71,Yes,Stable
HR Manager,Telecommunications,Large,London,Medium,High,Data Analysis,116772.43,Yes,Stable
Sales Manager,Manufacturing,Large,Paris,Medium,Low,Machine Learning,73376.60,No,Growth
HR Manager,Finance,Large,London,Low,Medium,Machine Learning,118340.88,Yes,Stable
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Low,Machine Learning,97849.30,Yes,Stable
Sales Manager,Healthcare,Large,Dubai,Low,Medium,JavaScript,102591.88,Yes,Growth
Operations Manager,Entertainment,Small,San Francisco,Medium,High,Machine Learning,112988.47,Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,High,Project Management,101462.64,Yes,Stable
Software Engineer,Telecommunications,Small,New York,High,High,Python,103457.72,Yes,Stable
Marketing Specialist,Technology,Medium,Sydney,Medium,Medium,Machine Learning,86711.67,Yes,Growth
Operations Manager,Education,Small,Dubai,Medium,Low,UX/UI Design,97443.37,Yes,Decline
Software Engineer,Transportation,Small,London,Low,Low,UX/UI Design,78250.04,Yes,Growth
UX Designer,Energy,Medium,Dubai,Low,Low,JavaScript,83131.78,Yes,Decline
Operations Manager,Telecommunications,Small,New York,Medium,Medium,Project Management,129293.90,No,Stable
UX Designer,Entertainment,Large,Singapore,Low,Medium,Python,73836.13,No,Decline
Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Data Analysis,93086.34,No,Growth
Software Engineer,Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,92269.38,No,Growth
Marketing Specialist,Healthcare,Medium,Paris,Low,Medium,Python,83784.91,Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,Berlin,Medium,Low,Cybersecurity,100288.02,No,Decline
AI Researcher,Manufacturing,Medium,Sydney,High,Medium,Marketing,101794.44,No,Stable
HR Manager,Education,Medium,Toronto,High,Medium,Cybersecurity,71483.62,Yes,Stable
Data Scientist,Finance,Large,Tokyo,Medium,Low,Sales,92027.13,No,Growth
Marketing Specialist,Energy,Medium,Paris,Low,Medium,UX/UI Design,68352.65,No,Decline
Software Engineer,Technology,Large,Singapore,Medium,Low,Project Management,105770.97,Yes,Decline
AI Researcher,Education,Medium,London,High,Low,Communication,93529.75,Yes,Decline
Marketing Specialist,Retail,Large,Toronto,Medium,High,JavaScript,91646.60,Yes,Decline
Software Engineer,Technology,Small,Paris,Low,High,Sales,103180.63,No,Stable
Product Manager,Transportation,Large,Paris,High,High,Cybersecurity,84489.79,No,Stable
Product Manager,Entertainment,Large,Tokyo,Medium,High,Machine Learning,108280.44,Yes,Growth
UX Designer,Retail,Large,Toronto,Low,Medium,Project Management,71031.10,Yes,Stable
Marketing Specialist,Retail,Large,San Francisco,High,High,Sales,118237.53,No,Stable
Product Manager,Education,Medium,Berlin,Low,Low,JavaScript,78981.78,Yes,Growth
Software Engineer,Finance,Small,San Francisco,High,Medium,UX/UI Design,56076.42,No,Growth
UX Designer,Education,Large,Toronto,Medium,High,Project Management,83429.30,Yes,Growth
Software Engineer,Transportation,Medium,San Francisco,Low,Low,JavaScript,81160.64,Yes,Stable
UX Designer,Telecommunications,Small,New York,High,Medium,Marketing,83278.52,No,Stable
Marketing Specialist,Telecommunications,Small,Singapore,Low,Medium,Marketing,94632.96,Yes,Growth
AI Researcher,Finance,Small,New York,Low,High,JavaScript,111956.85,Yes,Growth
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Medium,Sales,86165.88,Yes,Growth
Operations Manager,Finance,Large,San Francisco,Low,Low,Project Management,76167.65,No,Stable
AI Researcher,Healthcare,Large,Dubai,High,Medium,Sales,67469.06,Yes,Stable
Sales Manager,Telecommunications,Medium,London,High,Low,Data Analysis,80636.34,Yes,Decline
Software Engineer,Retail,Medium,Sydney,High,Medium,Cybersecurity,52243.50,Yes,Stable
Sales Manager,Energy,Medium,London,High,High,Data Analysis,75497.34,Yes,Stable
AI Researcher,Entertainment,Small,Toronto,Medium,Low,Marketing,114881.08,Yes,Stable
UX Designer,Transportation,Small,Paris,Low,Medium,UX/UI Design,73532.82,Yes,Growth
Operations Manager,Technology,Large,Singapore,Medium,Medium,Python,102574.32,No,Stable
Operations Manager,Finance,Small,San Francisco,Low,Medium,Cybersecurity,65470.36,No,Growth
Data Scientist,Entertainment,Small,Tokyo,Low,Low,Marketing,125421.92,Yes,Decline
Operations Manager,Technology,Small,Sydney,Low,Low,Sales,126752.13,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Medium,Low,Sales,101820.43,No,Growth
Operations Manager,Energy,Medium,Berlin,Low,High,Sales,129825.05,Yes,Growth
AI Researcher,Technology,Large,Berlin,Medium,High,UX/UI Design,97115.86,No,Growth
Data Scientist,Education,Small,San Francisco,High,Low,Data Analysis,105370.34,No,Stable
AI Researcher,Manufacturing,Small,Berlin,High,Medium,Python,115238.68,No,Decline
AI Researcher,Education,Large,New York,Low,High,Sales,93594.37,No,Growth
HR Manager,Telecommunications,Small,Sydney,Medium,Low,Communication,58952.45,No,Stable
Data Scientist,Manufacturing,Small,New York,High,Medium,Cybersecurity,105779.27,No,Decline
AI Researcher,Education,Medium,Paris,Medium,High,Project Management,80562.81,No,Stable
HR Manager,Manufacturing,Large,Sydney,Medium,Medium,Communication,82049.40,No,Decline
HR Manager,Manufacturing,Large,New York,Low,Medium,Python,95957.90,Yes,Stable
Data Scientist,Retail,Large,Sydney,High,Medium,UX/UI Design,101325.62,Yes,Decline
Sales Manager,Finance,Large,Paris,Low,Medium,Python,93002.69,No,Decline
UX Designer,Finance,Medium,Dubai,Low,High,Project Management,102714.59,No,Stable
Cybersecurity Analyst,Retail,Medium,San Francisco,High,High,Cybersecurity,75862.86,Yes,Growth
UX Designer,Entertainment,Small,San Francisco,High,High,Project Management,89145.92,No,Decline
Operations Manager,Healthcare,Small,Berlin,Medium,Low,JavaScript,106981.71,No,Growth
Cybersecurity Analyst,Entertainment,Small,London,High,High,Cybersecurity,125455.82,Yes,Stable
Operations Manager,Technology,Small,Berlin,Medium,Medium,Python,132528.71,Yes,Growth
AI Researcher,Technology,Medium,Toronto,Medium,High,Sales,98659.53,Yes,Growth
Software Engineer,Manufacturing,Large,New York,Medium,Medium,Python,106800.20,No,Growth
Data Scientist,Education,Medium,Sydney,High,Low,Python,129631.58,No,Growth
Cybersecurity Analyst,Education,Small,London,Low,Medium,Cybersecurity,76583.28,Yes,Growth
Cybersecurity Analyst,Finance,Medium,Paris,Medium,Medium,JavaScript,102594.00,Yes,Decline
AI Researcher,Transportation,Large,Toronto,Low,Medium,Python,105366.86,No,Decline
Sales Manager,Entertainment,Large,Paris,Low,Low,Communication,118957.23,Yes,Decline
HR Manager,Telecommunications,Medium,San Francisco,High,High,Marketing,67257.17,No,Stable
AI Researcher,Energy,Medium,San Francisco,Low,High,Machine Learning,71211.88,No,Growth
Product Manager,Education,Medium,Berlin,Low,Low,Machine Learning,90427.64,Yes,Decline
HR Manager,Energy,Small,New York,High,Medium,Python,97554.55,Yes,Stable
Data Scientist,Manufacturing,Medium,London,Medium,High,Communication,112457.28,No,Decline
HR Manager,Energy,Medium,Singapore,Low,Low,Sales,100350.88,Yes,Decline
Sales Manager,Telecommunications,Medium,Toronto,High,High,UX/UI Design,86971.74,Yes,Growth
HR Manager,Retail,Large,Toronto,Low,Low,UX/UI Design,98329.23,Yes,Stable
Data Scientist,Telecommunications,Large,Berlin,Low,Medium,Cybersecurity,96020.89,Yes,Growth
Sales Manager,Energy,Small,San Francisco,Medium,High,Machine Learning,124900.33,No,Growth
UX Designer,Telecommunications,Small,Berlin,Low,Low,Python,93313.18,No,Decline
Cybersecurity Analyst,Healthcare,Large,Sydney,High,High,UX/UI Design,82338.33,No,Growth
Cybersecurity Analyst,Manufacturing,Large,London,Low,High,Python,98992.18,No,Stable
Operations Manager,Entertainment,Large,New York,Medium,High,Cybersecurity,93969.71,Yes,Growth
UX Designer,Retail,Medium,Dubai,Medium,High,Machine Learning,58580.13,Yes,Growth
UX Designer,Education,Medium,Tokyo,High,Low,Project Management,89686.96,No,Growth
HR Manager,Technology,Large,Tokyo,Medium,Medium,Marketing,87985.24,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Low,Low,Marketing,79122.56,Yes,Stable
Data Scientist,Technology,Medium,Sydney,Medium,Low,UX/UI Design,110711.67,No,Decline
Marketing Specialist,Manufacturing,Small,London,High,Low,Marketing,74286.41,No,Decline
Marketing Specialist,Retail,Large,Singapore,Medium,Medium,Project Management,99112.37,Yes,Decline
Sales Manager,Finance,Large,Tokyo,Medium,High,Python,87042.86,No,Decline
Cybersecurity Analyst,Education,Medium,London,Medium,High,Cybersecurity,92153.90,Yes,Decline
Cybersecurity Analyst,Healthcare,Large,New York,High,High,Project Management,98235.73,Yes,Stable
Marketing Specialist,Finance,Small,Paris,Medium,Medium,Cybersecurity,63848.51,No,Growth
Cybersecurity Analyst,Manufacturing,Small,Sydney,Medium,High,Cybersecurity,93833.22,Yes,Decline
HR Manager,Entertainment,Small,San Francisco,Low,Medium,Machine Learning,135778.95,No,Decline
Product Manager,Healthcare,Large,London,High,High,Python,58864.73,Yes,Stable
Software Engineer,Telecommunications,Large,New York,Medium,High,Communication,88847.84,No,Stable
UX Designer,Energy,Large,Singapore,High,Low,Marketing,112464.79,No,Growth
Operations Manager,Healthcare,Large,Dubai,Medium,Medium,Communication,96032.38,No,Stable
Sales Manager,Manufacturing,Large,San Francisco,Medium,Low,Machine Learning,103759.34,Yes,Growth
Product Manager,Transportation,Small,Dubai,Medium,Low,Cybersecurity,42486.68,Yes,Decline
Marketing Specialist,Energy,Medium,Singapore,Low,Low,UX/UI Design,101964.99,No,Decline
UX Designer,Technology,Small,New York,Low,Medium,Marketing,74766.24,Yes,Growth
Cybersecurity Analyst,Education,Large,Tokyo,Low,Medium,Marketing,96197.55,No,Stable
Operations Manager,Technology,Small,Dubai,High,High,Python,89411.31,No,Growth
Cybersecurity Analyst,Healthcare,Large,San Francisco,High,Low,JavaScript,135566.66,Yes,Stable
Data Scientist,Technology,Large,Berlin,Low,High,Data Analysis,100933.91,No,Decline
Data Scientist,Manufacturing,Small,Toronto,High,Low,Data Analysis,87747.52,Yes,Stable
Operations Manager,Telecommunications,Large,London,Medium,Medium,Data Analysis,59806.14,No,Growth
Operations Manager,Entertainment,Medium,Tokyo,Medium,Medium,JavaScript,92422.94,Yes,Growth
Marketing Specialist,Education,Large,Dubai,Medium,Medium,Python,106464.58,No,Decline
Operations Manager,Technology,Medium,Paris,Low,Low,JavaScript,88388.96,No,Stable
HR Manager,Technology,Medium,London,High,Medium,Data Analysis,79886.87,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Berlin,Low,Low,Machine Learning,78548.27,No,Stable
Product Manager,Entertainment,Small,Singapore,High,High,Project Management,100702.83,No,Decline
AI Researcher,Finance,Medium,Toronto,Medium,Low,Cybersecurity,105187.76,Yes,Stable
Operations Manager,Technology,Small,New York,Low,High,JavaScript,117224.20,No,Growth
Sales Manager,Manufacturing,Medium,Berlin,High,Low,Python,70100.00,Yes,Stable
Data Scientist,Transportation,Large,Berlin,High,High,Python,100519.55,No,Decline
HR Manager,Education,Large,Singapore,Medium,Medium,Communication,87565.92,Yes,Stable
UX Designer,Technology,Medium,Sydney,Low,High,Project Management,88155.32,No,Stable
AI Researcher,Manufacturing,Large,Singapore,Low,Medium,UX/UI Design,98036.52,No,Growth
Product Manager,Manufacturing,Medium,Sydney,Low,Medium,Marketing,98153.13,No,Stable
AI Researcher,Education,Large,Sydney,Medium,High,Data Analysis,100575.36,Yes,Growth
Operations Manager,Finance,Small,Tokyo,Low,Low,UX/UI Design,68850.58,Yes,Growth
Marketing Specialist,Manufacturing,Large,Tokyo,Medium,Low,Communication,75003.77,Yes,Decline
Data Scientist,Transportation,Small,San Francisco,Medium,Low,Data Analysis,119717.37,Yes,Growth
Data Scientist,Manufacturing,Large,Dubai,Medium,Low,Project Management,85588.55,No,Growth
UX Designer,Manufacturing,Small,Dubai,High,Low,Communication,96120.29,No,Decline
Marketing Specialist,Manufacturing,Large,New York,Low,Medium,Data Analysis,111093.33,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,Low,Project Management,99268.86,Yes,Decline
Software Engineer,Telecommunications,Medium,Tokyo,Medium,Medium,Sales,100930.45,Yes,Stable
HR Manager,Finance,Medium,San Francisco,Medium,Medium,UX/UI Design,107891.55,No,Decline
Data Scientist,Technology,Small,San Francisco,Low,Medium,UX/UI Design,47666.72,Yes,Growth
Sales Manager,Manufacturing,Large,Sydney,Medium,High,Marketing,80201.00,Yes,Decline
Data Scientist,Entertainment,Small,Singapore,Low,High,Project Management,99372.12,No,Growth
AI Researcher,Technology,Large,New York,High,Medium,JavaScript,117752.89,No,Stable
Data Scientist,Finance,Medium,Sydney,Medium,High,Sales,91321.91,Yes,Decline
Data Scientist,Retail,Large,Singapore,Low,Low,Machine Learning,73105.67,No,Stable
Software Engineer,Technology,Medium,Dubai,Medium,Low,Data Analysis,73638.28,Yes,Growth
Software Engineer,Technology,Large,Sydney,Low,Medium,Sales,107677.22,No,Growth
Product Manager,Energy,Large,London,Low,Low,Project Management,85644.53,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Dubai,Medium,Medium,Cybersecurity,89856.00,Yes,Decline
Sales Manager,Energy,Small,Singapore,High,Medium,Data Analysis,102300.60,Yes,Decline
Data Scientist,Transportation,Small,New York,Low,Low,Python,31969.53,Yes,Growth
Data Scientist,Telecommunications,Medium,Singapore,Low,High,UX/UI Design,130007.35,No,Stable
HR Manager,Telecommunications,Medium,Sydney,Low,Low,Project Management,75378.52,No,Stable
Software Engineer,Healthcare,Small,Sydney,High,Low,Python,94838.73,No,Decline
Sales Manager,Education,Medium,Berlin,High,Medium,Marketing,55906.06,No,Decline
UX Designer,Education,Small,New York,Medium,Medium,Communication,81549.18,Yes,Decline
Product Manager,Finance,Large,Paris,High,Medium,Machine Learning,114893.76,Yes,Stable
Cybersecurity Analyst,Healthcare,Medium,Dubai,Medium,Medium,Machine Learning,51676.66,No,Decline
Marketing Specialist,Technology,Medium,San Francisco,Medium,High,Python,112524.00,No,Decline
Cybersecurity Analyst,Education,Small,New York,High,High,UX/UI Design,84526.08,No,Growth
AI Researcher,Manufacturing,Medium,San Francisco,Medium,High,Marketing,99743.29,No,Decline
Data Scientist,Entertainment,Medium,New York,High,Medium,Cybersecurity,103150.49,No,Decline
Product Manager,Technology,Large,New York,Medium,Medium,UX/UI Design,98828.43,Yes,Stable
AI Researcher,Transportation,Medium,Singapore,High,Medium,Sales,72700.99,Yes,Stable
Sales Manager,Manufacturing,Large,New York,High,High,Machine Learning,82709.02,Yes,Growth
Marketing Specialist,Manufacturing,Small,Berlin,Medium,Medium,Sales,60768.88,No,Decline
Software Engineer,Healthcare,Medium,Paris,Low,Low,Data Analysis,99835.93,No,Growth
Product Manager,Finance,Large,Sydney,Medium,Low,JavaScript,124041.10,No,Stable
Product Manager,Transportation,Small,Toronto,High,Medium,Project Management,53511.18,No,Growth
Data Scientist,Education,Medium,San Francisco,Low,Low,Marketing,74767.08,Yes,Stable
Operations Manager,Healthcare,Small,Sydney,Medium,Low,UX/UI Design,86364.49,Yes,Growth
Product Manager,Education,Medium,Toronto,Medium,High,Machine Learning,93466.83,No,Growth
HR Manager,Healthcare,Small,Paris,Medium,Medium,Sales,107583.53,Yes,Decline
Marketing Specialist,Healthcare,Small,Paris,Low,Medium,Communication,86956.00,Yes,Growth
Marketing Specialist,Healthcare,Large,San Francisco,High,High,Data Analysis,83680.83,No,Decline
HR Manager,Finance,Small,San Francisco,Medium,Low,Project Management,112062.61,No,Decline
UX Designer,Healthcare,Medium,Paris,Medium,Low,Project Management,103239.91,No,Decline
HR Manager,Retail,Medium,Toronto,Medium,Medium,UX/UI Design,100779.56,No,Decline
HR Manager,Entertainment,Large,New York,Medium,Low,Marketing,92250.31,No,Growth
Marketing Specialist,Education,Medium,Dubai,Medium,High,Cybersecurity,109663.04,No,Stable
Cybersecurity Analyst,Technology,Medium,London,High,High,Communication,76873.81,Yes,Stable
Marketing Specialist,Energy,Medium,Sydney,High,Medium,UX/UI Design,74146.11,Yes,Stable
Operations Manager,Transportation,Small,Singapore,Medium,High,Sales,104922.02,No,Growth
Data Scientist,Telecommunications,Small,Sydney,Low,High,JavaScript,57499.28,Yes,Decline
AI Researcher,Finance,Medium,Singapore,High,Medium,Python,91843.59,No,Stable
Cybersecurity Analyst,Technology,Large,Toronto,Low,High,Cybersecurity,83668.83,No,Growth
Software Engineer,Manufacturing,Small,Singapore,High,High,Marketing,61884.91,No,Decline
AI Researcher,Retail,Large,San Francisco,Medium,High,Data Analysis,71374.65,No,Stable
Data Scientist,Telecommunications,Medium,Dubai,High,Low,Cybersecurity,87820.48,Yes,Decline
Operations Manager,Energy,Medium,Dubai,Medium,Medium,Machine Learning,110679.27,No,Stable
Operations Manager,Technology,Small,San Francisco,High,Medium,Marketing,76940.84,Yes,Stable
Software Engineer,Telecommunications,Medium,Berlin,Medium,Medium,JavaScript,114267.63,No,Stable
Cybersecurity Analyst,Technology,Small,Toronto,Medium,Low,Machine Learning,91263.58,No,Decline
UX Designer,Retail,Medium,Berlin,Medium,Low,Cybersecurity,116207.69,No,Growth
HR Manager,Energy,Medium,Berlin,Medium,Medium,Python,77910.17,Yes,Decline
Cybersecurity Analyst,Manufacturing,Small,Sydney,Low,Low,Python,89023.81,No,Stable
UX Designer,Healthcare,Small,Paris,Medium,Medium,JavaScript,97369.67,No,Decline
Operations Manager,Education,Small,Sydney,Low,Low,Project Management,86409.79,No,Growth
Marketing Specialist,Manufacturing,Medium,Paris,Low,High,Communication,109060.48,Yes,Decline
Data Scientist,Healthcare,Medium,London,Medium,High,Data Analysis,45848.73,Yes,Growth
Software Engineer,Finance,Large,Singapore,Low,Medium,Project Management,138448.11,Yes,Growth
Data Scientist,Entertainment,Small,Paris,High,Low,Python,107155.49,No,Decline
Sales Manager,Transportation,Medium,San Francisco,Medium,Low,Python,86529.36,Yes,Stable
Sales Manager,Transportation,Medium,Sydney,Low,High,Sales,78953.57,No,Growth
Cybersecurity Analyst,Education,Small,Toronto,Medium,High,Machine Learning,72671.59,Yes,Decline
Operations Manager,Energy,Large,Singapore,Medium,Low,Cybersecurity,102912.31,Yes,Growth
Operations Manager,Retail,Small,London,Medium,Low,Data Analysis,109899.63,No,Stable
HR Manager,Energy,Large,Paris,Low,Low,JavaScript,86749.48,Yes,Decline
HR Manager,Retail,Medium,London,High,Low,Cybersecurity,112139.81,No,Decline
HR Manager,Energy,Large,Toronto,High,Low,Sales,71854.80,No,Decline
Marketing Specialist,Entertainment,Medium,Berlin,Low,Low,Python,68323.78,Yes,Stable
AI Researcher,Finance,Small,Dubai,Medium,Medium,JavaScript,126266.82,No,Growth
Product Manager,Finance,Small,Toronto,Low,Low,Python,101822.17,No,Decline
AI Researcher,Healthcare,Small,Tokyo,Low,High,Data Analysis,117936.96,Yes,Growth
Data Scientist,Telecommunications,Large,Toronto,Low,Medium,Machine Learning,72921.21,Yes,Growth
